"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.64",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.64",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.55",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.17",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.15",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.38",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.78",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.74",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.21",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.74",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.27",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.84",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.61",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.53",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.55",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.98",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.30",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ ИНСПИРЕЙШЪН четка за зъби медиум","1028728","80","5.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.03",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СТРЕПСИЛС ИНТЕНЗИВ спрей 8.75мг/доза разтвор 15мл","1030081","98","7.43",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.07",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.95",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.20",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЦЦ еферв табл 600мг х 10бр","1030461","99","8.61",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕКЗОДЕРИЛ крем 1% 30гр","1031358","90","9.71",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС УЛТРА КЛИЙН паста за зъби 75мл","1031439","81","5.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КСИЗАЛ филм табл 5мг х 20бр(Бестамед)","1032706","100","10.60",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КСИЗАЛ филм табл 5мг х 7бр(Бестамед)","1032816","100","4.17",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ МЕНТОЛ табл за смучене 5мг/1мг х 24бр","1033315","98","6.55",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ МЕНТОЛ спрей за устна лигавица 2мг/мл + 0.5мг/мл 30мл","1033316","98","9.52",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ ЛИМОН табл за смучене 5мг/1мг х 24бр","1033317","98","7.21",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КСИВОЗАН филм табл 5мг х 10бр","1033558","100","5.01",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ИБУПРОМ СПРИНТ МАКС капс 400мг х 10бр","1033579","94","4.92",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЕТОНАЛ капс 50мг х 20бр","1033870","94","6.72",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.29",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","МИГ ДЖУНИЪР перорална суспензия 40мг/мл 100мл х 1бр","1034732","94","4.49",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СТРЕПСИЛС ИНТЕНЗИВ ПОРТОКАЛ без захар табл за смучене х 16бр","1034899","98","5.11",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ УСПОКОЯВАЩА ПАСТА ЗА ЗЪБИ РАЗДРАЗНЕНИ ВЕНЦИ 75мл","1035074","81","6.58",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ МУЛТИЕКШЪН МУЛТИФУНКЦИОНАЛНА ПАСТА ЗА ЗЪБИ 75мл","1035076","81","6.35",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","5.64",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПАРОДОНТАКС ХЕРБАЛ паста за зъби 75мл","1035235","81","5.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛАКСА ПИКО табл 5мг х 20бр","1035891","88","4.51",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ ДЖУНИЪР ГЕЛООБРАЗНА паста за зъби 7-12г С МЕК МЕНТОВ АРОМАТ 50мл","1035975","81","5.07",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ОТРИВИН ПЛЮС 1мг/мл + 50мг/мл спрей за нос 0.05% 10мл","1036062","97","6.52",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕЛГИДИУМ ПАСТА ЗА ЗЪБИ РАЗКРИВАЩА ПЛАКАТА 50мл ОС","1036216","81","5.78",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","БЕНАЛГИН РАПИД прах за перорален разтвор х 10бр","1036402","96","3.67",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЕТОНАЛ ИНТЕНЗИВ сашети 50мг х 12бр","1036474","94","6.87",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕНТЕРОЛ прах за перорална сусп 250мг х 20бр","1036640","89","13.22",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕНТЕРОЛ капс 250мг х 12бр","1036641","89","6.96",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ФАРИНГОСЕПТ табл за смучене 8.75мг х 20бр","1036864","98","4.42",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНАЛГИН МАКС сашети 1000мг х 6бр","1036937","96","2.96",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 20бр","1037039","94","9.48",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ОКЛИС ФОРТЕ гранули за перорален р-р сашети 600мг х 10бр","1037040","94","6.34",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","СТРЕПСИЛС ИНТЕНЗИВ МЕД И ЛИМОН спрей 8.75мг/доза разтвор 15мл","1037781","98","7.43",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.76",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕНТЕРОЛ капс 250мг х 30бр","1038032","89","15.26",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 10бр","1038160","94","5.50",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.46",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЕТАЛГО гранули за перорален р-р в сашети 50мг х 6бр","1038816","94","4.24",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.87",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КСИЛОДЕКС 0.5мг/мл + 50мг/мл спрей за нос разтвор 10мл","1039239","97","4.52",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","ЕНТЕРОЛ прах за перорална сусп 250мг х 6бр","1039305","89","4.50",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ ЛИМОН спрей за устна лигавица 2мг/мл + 0.5мг/мл х 30мл","1039306","98","9.61",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ МЕД табл за смучене 5мг/1мг х 24бр","1039307","98","7.21",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","АНГАЛ ЯГОДА ЗА ДЕЦА табл за смучене 5мг/1мг х 24бр","1039308","98","7.21",""
"67338","Аптека Марешки 2 / 767 / гр. Сливен, ул.Георги Икономов 16","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
