"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ГЪМ СЕНСИВИТАЛ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","3.99",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.56",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","1.67",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.22",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","А-ДЕРМА ДЕРМАТОЛОГИЧЕН ПОЧИСТВАЩ САПУН 100гр","00501004","83","7.56","6.50"
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.51",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.70",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","БИОПРОГРАМА ЧАЙ БИОКАРДИО/ЧАЙ ЗА СЪРЦЕ","10000740","72","0.99",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ГЪМ ОРИГИНАЛ УАЙТ паста за зъби 75мл","1000143","81","4.04",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ КЛИНИК ДЖУНИЪР ЧЕТКА ЗА ЗЪБИ / МЕДИУМ","1000184","80","9.33",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.41",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.47",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.22",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.64",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ГЪМ КИДС паста за зъби за деца 2-6г 50мл","1016952","81","2.48",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","2.47",""
"72624","Аптека Марешки Добрич / 260 / гр. Добрич, ул ПЕШЕХОДНА ЗОНА 25 ти септем","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
