"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.80",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.28",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","АКВАФРЕШ КИДС ЛИТЪЛ ТИИЙД ПАСТА ЗА ЗЪБИ 3-5г 50мл","00402037","81","2.39","1.79"
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.88",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.70",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.09",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.28",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.43",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.36",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.93",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.84",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"04279","Аптека Марешки 4 / 633 / гр. Благоевград, ул. Арсений Костенцев 12","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
