"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.28",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.26",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"81414","Аптека Марешки Чирпан / 274 / гр. Чирпан, бул. Георги Димитров 32","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
