"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.28",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.22",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.55",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НУРОФЕН табл 200мг х 24бр","1019521","94","5.30",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.41","5.19"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.98",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.50",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","СЕНСОДИН КОМПЛИЙТ ПРОТЕКШЪН паста за зъби 75мл","1023168","81","7.35","5.14"
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.57",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.83",""
"44238","Аптека Марешки Лом / 228 / гр.Лом, ул.Аспарух 13","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
