"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ СЕНСИВИТАЛ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.11",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.47",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.38",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.78",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ КИДС паста за зъби за деца 2-6г 50мл","1016952","81","2.57",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","2.47",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.87",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.36",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НУРОФЕН табл 200мг х 24бр","1019521","94","5.46",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.53",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.98",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.30",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СТРЕПСИЛС ИНТЕНЗИВ спрей 8.75мг/доза разтвор 15мл","1030081","98","7.43",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.07",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ ПРОМО","1030246","80","4.23",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЦЦ еферв табл 600мг х 10бр","1030461","99","8.61",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕКЗОДЕРИЛ крем 1% 30гр","1031358","90","9.71",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЛМИРАЛ гел 1.16% 100гр","1032078","95","7.16",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИЗАЛ филм табл 5мг х 20бр(Бестамед)","1032706","100","10.60",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИЗАЛ филм табл 5мг х 7бр(Бестамед)","1032816","100","4.17",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ ИНСПИРЕЙШЪН четка за зъби медиум ПРОМО","1033085","80","4.23",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ МЕНТОЛ табл за смучене 5мг/1мг х 24бр","1033315","98","6.55",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ МЕНТОЛ спрей за устна лигавица 2мг/мл + 0.5мг/мл 30мл","1033316","98","9.52",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ ЛИМОН табл за смучене 5мг/1мг х 24бр","1033317","98","7.21",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИВОЗАН филм табл 5мг х 10бр","1033558","100","5.01",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУПРОМ СПРИНТ МАКС капс 400мг х 10бр","1033579","94","4.92",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТОНАЛ капс 50мг х 20бр","1033870","94","6.10",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДЕНТАИД ВИТИС ГИНГИВАЛ паста за зъби 100мл","1033885","81","5.55",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДЕНТАЛ ПРО КИДС детска паста за зъби 6+г 50 мл","1034012","81","3.80",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","7.29",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.49",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КЛИНИК ПЕРИОБЛОК КЕЪР паста за зъби 75мл","1035077","81","6.91",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ ДЖУНИЪР ГЕЛООБРАЗНА паста за зъби 7-12г С МЕК МЕНТОВ АРОМАТ 50мл","1035975","81","4.75",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ОТРИВИН ПЛЮС 1мг/мл + 50мг/мл спрей за нос 0.05% 10мл","1036062","97","6.52",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","БЕНАЛГИН РАПИД прах за перорален разтвор х 10бр","1036402","96","3.77",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТОНАЛ ИНТЕНЗИВ сашети 50мг х 12бр","1036474","94","7.56",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕНТЕРОЛ прах за перорална сусп 250мг х 20бр","1036640","89","13.21",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕНТЕРОЛ капс 250мг х 12бр","1036641","89","6.96",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ФАРИНГОСЕПТ табл за смучене 8.75мг х 20бр","1036864","98","4.42",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНАЛГИН МАКС сашети 1000мг х 20бр","1036936","96","7.54",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 20бр","1037039","94","9.48",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ОКЛИС ФОРТЕ гранули за перорален р-р сашети 600мг х 10бр","1037040","94","6.34",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУРАПИД филм табл 400мг х 20бр","1037043","94","5.07",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","СТРЕПСИЛС ИНТЕНЗИВ МЕД И ЛИМОН спрей 8.75мг/доза разтвор 15мл","1037781","98","7.43",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.76",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕНТЕРОЛ капс 250мг х 30бр","1038032","89","15.26",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 10бр","1038160","94","5.50",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.46",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ПАНАКТИВ БЕЙБИ 125мг супозитории х 5бр","1038798","94","3.36",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТАЛГО гранули за перорален р-р в сашети 50мг х 6бр","1038816","94","4.24",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИАРИД ПРО табл 2мг х 10бр","1039091","89","2.96",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.87",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИЛОДЕКС 1мг/мл + 50мг/мл спрей за нос разтвор 10мл","1039190","97","4.94",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИЛОДЕКС 0.5мг/мл + 50мг/мл спрей за нос разтвор 10мл","1039239","97","4.72",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕНТЕРОЛ прах за перорална сусп 250мг х 6бр","1039305","89","4.50",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ ЛИМОН спрей за устна лигавица 2мг/мл + 0.5мг/мл х 30мл","1039306","98","9.61",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ МЕД табл за смучене 5мг/1мг х 24бр","1039307","98","6.76",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","АНГАЛ ЯГОДА ЗА ДЕЦА табл за смучене 5мг/1мг х 24бр","1039308","98","6.81",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс 400мг х 20бр","1039476","94","9.06",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","НУРОФЕН ФОРТЕ табл 400мг х 24бр","1039668","94","7.48",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСИЗАЛ перорален разтвор 0.5мг/мл 200мл","1039669","100","5.14",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДРОПЛЕКС капки за уши разтвор 15мл","1039748","101","3.88",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛОФЛЕКС 5% гел флакон 50гр","1040104","95","6.88",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КЕТАЛГО гранули за перорален р-р в сашети 50мг х 12бр","1040324","94","7.09",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУПРОМ СПРИНТ МАКС капс 400мг х 20бр","1040342","94","8.32",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","КСАЛЕРГАН 5мг/мл перорални капки разтвор 20 мл","1040383","100","5.01",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ХЕКСОРАЛЕТЕН Н табл за смучене 16бр","1040461","98","5.61",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ДИКЛАК МАКС 5% гел 150гр","1040706","95","14.81",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ИБУЛЕК сашети 200мг х 10бр","1040997","94","4.17",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 100 г","1041032","95","9.79",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.31",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ЕЛГИДИУМ КЛИНИК СЕНСИЛИЙВ паста за зъби 50мл","1041158","81","6.48",""
"55155","Аптека Марешки Пазарджик 2 / 304 / гр. Пазарджик, ул.Гурко 1","ТРАКТУС 600мг прах за перорален разтвор сашети х 10бр","1041202","99","6.09",""
