"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","4.70",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.22",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.26",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.47",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.17",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.84",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СЕНСОДИН КОМПЛИЙТ ПРОТЕКШЪН паста за зъби 75мл","1023168","81","7.41","5.19"
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.83",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ДИАЛГИН капки 500мг/мл 20мл","1028253","96","4.38",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СТРЕПСИЛС ИНТЕНЗИВ спрей 8.75мг/доза разтвор 15мл","1030081","98","7.21",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ИБУЛЕК сашети 400мг х 10бр","1030132","94","4.93",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ИБУЛЕК сашети 600мг х 10бр","1030133","94","6.75",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ИБУРАПИД филм табл 400мг х 10бр","1030160","94","3.65",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕЛГИДИУМ УАЙТАНИНГ КУУЛ ЛИМОН ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ С ВКУС НА СВЕЖ ЛИМОН 75мл","1030440","81","6.20",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕКЗОДЕРИЛ крем 1% 30гр","1031358","90","9.42",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ПАРОДОНТАКС УЛТРА КЛИЙН паста за зъби 75мл","1031439","81","5.17",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АЛМИРАЛ гел 1.16% 100гр","1032078","95","6.95",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СЕНСОДИН АДВАНС КЛИЙН паста за зъби 75мл","1032148","81","5.25",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","КСИЗАЛ филм табл 5мг х 20бр(Бестамед)","1032706","100","10.30",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","СЕНСОДИН РАПИД РЕЛИФ паста за зъби 75мл","1032779","81","7.41","5.19"
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","КСИЗАЛ филм табл 5мг х 7бр(Бестамед)","1032816","100","4.04",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 50мл","1032999","81","4.79",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АНГАЛ МЕНТОЛ табл за смучене 5мг/1мг х 24бр","1033315","98","6.36",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АНГАЛ МЕНТОЛ спрей за устна лигавица 2мг/мл + 0.5мг/мл 30мл","1033316","98","9.24",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АНГАЛ ЛИМОН табл за смучене 5мг/1мг х 24бр","1033317","98","7.00",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","КСИВОЗАН филм табл 5мг х 10бр","1033558","100","4.86",""
"12259","Аптека Марешки Враца 4 / 283 / гр.Враца, ж.к Дъбника, ул.Славянска до бл.7","АКВАФРЕШ АКТИВ УАЙТАНИНГ паста за зъби 125мл","1033566","81","2.54","1.90"
