"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ГЪМ СЕНСИВИТАЛ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.11",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","6.44",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","1.67",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.22",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","3.78",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.55",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ГЪМ КИДС паста за зъби за деца 2-6г 50мл","1016952","81","4.25",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.87",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"00702","Аптека Марешки Асеновград 2 / 310 / гр.Асеновград, пл.България 2, бл.23/137 А","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82","5.47"
