"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","2.18",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.75",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","АКНЕ АУТ САПУН 100гр","1011945","83","4.69",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.55",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"73198","Аптека Марешки Троян 2 / 280 / гр.Троян ж.к Лъгът бл.19 вх.б","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
