"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","6.44",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.32",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДЕРМОДРИН унгв 30г","00011485","91","4.46",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.70",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","5.96",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.05",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.43",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.37",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.48",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.25",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НУРОФЕН табл 200мг х 24бр","1019521","94","5.29",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЙОДАСЕПТ унгв 40гр","1019744","92","2.98",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.93",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.52",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.12",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.42",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.78",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ОТИРЕЛАКС капки за уши 15мл","1022160","101","4.02",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.20",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.84",""
"56722","Аптека / 770 / гр. Плевен, бул. Д.Попов 15","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.17",""
