"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.64",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.65",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ГЪМ ОРТО паста за зъби 75мл","1022071","81","4.11",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.78",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДОЛОРЕН филм табл 200мг х 10бр","1026355","94","1.47",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ЕКЗОДЕРИЛ крем 1% 30гр","1031358","90","9.42",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","ПАРОДОНТАКС УЛТРА КЛИЙН паста за зъби 75мл","1031439","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СТРЕПСИЛС ИНТЕНЗИВ пастили х 24бр","1031974","98","7.21",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","СЕНСОДИН АДВАНС КЛИЙН паста за зъби 75мл","1032148","81","5.50",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","КСИЗАЛ филм табл 5мг х 20бр(Бестамед)","1032706","100","10.30",""
"80501","Аптека Марешки Червен бряг / 200 / гр. Ч.Бряг ул Княз Борис I №26 А","АНГАЛ МЕНТОЛ табл за смучене 5мг/1мг х 24бр","1033315","98","7.00",""
