"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","5.80",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.38",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.78",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.09",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.65",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НУРОФЕН табл 200мг х 24бр","1019521","94","5.46",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.74",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИЛКОВ ЧАЙ УСПОКОИТЕЛЕН филтър х 20бр","1020946","72","2.27",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.53",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ОТИРЕЛАКС капки за уши 15мл","1022160","101","4.15",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ПАРОДОНТАКС екстра фреш паста за зъби 75мл","1022560","81","5.50",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.98",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.30",""
"53535","Аптека Марешки Омуртаг / 191 / гр. Омуртаг, ул.Цар Освободител 4 аптека 2","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
