"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ДЕРМОДРИН унгв 30г","00011485","91","4.59",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.17",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.26",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.70",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"72165","Марешки 5 / 318 / гр. Твърдица, ул.Княз Борис I 52","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.17",""
