"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","1.68",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.26",""
"68134","Аптека Марешки Овча Купел / 178 / гр. София, ж.к. Овча Купел 1 ул. Монте Видео 47","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.50",""
