"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ГЪМ СЕНСИВИТАЛ ПАСТА ЗА ЗЪБИ ГЕЛ 75мл","00000643","81","4.11",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ДЕРМОДРИН унгв 30г","00011485","91","4.59",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.70",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","5.24",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.47",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"00702","Аптека Марешки Асеновград / 194 / гр.Асеновград, ул.Александър Стамболийски 36","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
