"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДЕРМОДРИН унгв 30г","00011485","91","4.59",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.64",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.64",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.36",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ПАМПЕРС МОКРИ КЪРПИ СЕНСИТИВ х 56бр","1019263","84","1.64",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НУРОФЕН табл 200мг х 24бр","1019521","94","5.30",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.93",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.84",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.61",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ детска паста за зъби горски плод 50мл ПРОМО","1022077","81","3.78",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.98",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.16",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.83",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ЕЛГИДИУМ АНТИПЛАКА паста за зъби ПРОМО 75мл","1024352","81","4.38",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.14",""
"04279","Аптека Марешки Благоевград 2 / 366 / гр. Благоевград, ул. Славянска 66","ПОМОРИН АНТИПАРОДОНТОЗА паста за зъби 100мл","1027149","81","1.14",""
