"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АСПИРИН ПРОТЕКТ 100МГ Х 40 **","330","96","3.16","3.16"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ИМОДИУМ ПРИ ДИАРИЯ 2МГ Х 6 **","641","89","3.78","3.7800000000000002"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗОПЕП AC | FRISOPEP 400ГР","1607","65","15.23","15.23"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НАН | NAN 1 Х 400ГР","1829","65","12.88","12.88"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НАН | NAN 2 Х 400ГР","1830","65","12.88","12.88"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛЕРГОЗАН АМП 20МГ/2МЛ Х 10","1851","100","11.19","11.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛЕРГОЗАН ТБ 25МГ Х 20","1852","100","3.88","3.88"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛЕРГОЗАН КРЕМ 18Г","1853","91","4.65","4.65"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЛЕРГОЗАН УНГВ 18Г","1854","91","4.65","4.65"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АНАЛГИН АМП 50% 2 МЛ","1879","96","7.46","7.46"
