"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"02676","Магазин Банско - Ледена Пързалка","""""""OLYMPUS"""" Крема сирене 200гр""","4976","9","3.37",
"02676","Магазин Банско - Ледена Пързалка","250гр Davidoff Espresso мляно 12б/к","7082","70","21.04",
"02676","Магазин Банско - Ледена Пързалка","250гр Davidoff Fine Aroma мляно 12 б/к","12477","70","21.04",
"02676","Магазин Банско - Ледена Пързалка","250гр Davidoff Rich Aroma мляно 12 б/к","7083","70","21.04",
"02676","Магазин Банско - Ледена Пързалка","250гр EDUSCHO classic strong мляно ","15887","70","10.81",
"02676","Магазин Банско - Ледена Пързалка","250гр EDUSCHO intenso мляно","15888","70","11.25",
"02676","Магазин Банско - Ледена Пързалка","400гр маслен боб Degusto 24 б/к","6944","46","2.17",
"02676","Магазин Банско - Ледена Пързалка","400гр червен боб Degusto 24 б/к","6945","46","2.17",
"02676","Магазин Банско - Ледена Пързалка","6803 БИО ПЮРЕ ЗЕЛЕНЧ.,МАКАРОНИ,ПИЛЕШКО 220г 6/1728","7965","64","4.80",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.БИСКВИТИ ВАНИЛИЯ 92гр","1910","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.ВАНИЛ/ВИШНА 92гр","1907","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.ВАНИЛИЯ/ЯГОДА 92гр","1914","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.КАКАО/КОКОС 92гр","1911","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.КАКАО/ЛЕШНИК 92гр","1905","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.МАХ БРЮЛЕ 92гр","1913","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7 ДЕЙС КР.МАХ КАКАО 92гр","1906","67","1.23",
"02676","Магазин Банско - Ледена Пързалка","7ДЕЙС КРОАСАН КАКАО (4*50)","18309","67","3.14",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH PLUS FRESH FEEL 75 ML.","18107","81","4.73",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH PLUS VISIBLE WHITE 75 ML.","18106","81","4.73",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH ДП/З BIG Teeth 6-8г 50мл","14547","81","5.88",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH ДП/З Little Teeth 3-5г 50мл","12318","81","5.88",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH П.З. ALL IN ONE PROT BACT DEFENCE 75 МЛ.","16857","81","5.88",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH П/З INTENSE DEEP ACTION 75ML","13650","81","4.70",
"02676","Магазин Банско - Ледена Пързалка","AQUAFRESH П/З INTENSE WHITENING 75ML","13651","81","4.70",
"02676","Магазин Банско - Ледена Пързалка","BELINO КРОАСАН С КРЕМ ОТ ШАМ ФЪСТЪК 80 ГР.","18312","67","1.25",
"02676","Магазин Банско - Ледена Пързалка","BIOMED ЧЕТКА BLACK 03137","15156","80","5.98",
"02676","Магазин Банско - Ледена Пързалка","BIOMED ЧЕТКА PINK 03435","15157","80","5.98",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н AVOKADO OIL & SHEA BUTTER 250мл.","18108","82","6.77",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н HONEY & Propolis 250мл.","6869","82","6.77",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н KIDS 2in1 OAT DELICACY 250мл.","14331","82","8.00",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н MAGNETIC CHARCOAL 250мл.","14333","82","6.77",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н OAT DELICACY 250мл.","14332","82","6.77",
"02676","Магазин Банско - Ледена Пързалка","BT Ш-н RICIN OIL& Almond 250мл","6415","82","6.77",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н ARGININE/FULL RESIST 250мл.","6905","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н COLOR VIVE 250мл.","6903","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н DREAM LONG 250мл","6909","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н EXTRAORD.250мл.","6906","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н HYALURON/HYALURON PURE 250мл","5488","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","ELS Ш-н TR 5 250мл.","6904","82","8.95",
"02676","Магазин Банско - Ледена Пързалка","Frosch 500мл преп.за съдове Ж.Лимон 8б/к","6814","79","2.30",
"02676","Магазин Банско - Ледена Пързалка","Frosch 500мл преп.за съдове Зел.Лимон8б/","6813","79","2.30",
"02676","Магазин Банско - Ледена Пързалка","Frosch Baby 500мл преп. за бебешки съдове 8б/к","15041","79","3.88",
"02676","Магазин Банско - Ледена Пързалка","Fructis Ш-н ALOE 250мл.","6865","82","7.06",
"02676","Магазин Банско - Ледена Пързалка","Fructis Ш-н COCONUT WATER 250мл.","6493","82","7.06",
"02676","Магазин Банско - Ледена Пързалка","Fructis Ш-н COLOR RESIST 250 мл.NEW","6863","82","7.06",
"02676","Магазин Банско - Ледена Пързалка","Fructis Ш-н GROW STRONG 250 мл.NEW","6864","82","7.06",
"02676","Магазин Банско - Ледена Пързалка","Fructis Ш-н SOS REPAIR 250 мл.NEW","6862","82","7.06",
"02676","Магазин Банско - Ледена Пързалка","JHB БЕБЕШКИ Ш-Н 300 МЛ./GOLD","18334","82","7.56",
"02676","Магазин Банско - Ледена Пързалка","JHB БЕБЕШКИ Ш-Н ЛАЙКА 300 МЛ./СВ. ЗЕЛЕН","18335","82","7.56",
"02676","Магазин Банско - Ледена Пързалка","Johnson's Bedtime бебешки шампоан 300мл","11424","82","7.56",
"02676","Магазин Банско - Ледена Пързалка","NIVEA BABY НЕЖЕН САПУН VEGETABLE 100 ГР.","16711","83","2.40",
"02676","Магазин Банско - Ледена Пързалка","NIVEA Baby Нежен подхранващ крем сапун 100 гр.","7464","83","1.99",
"02676","Магазин Банско - Ледена Пързалка","NIVEA HC  2 в 1 Шампоан и балсам 2in1 Care Express 250 мл.","7515","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA HC Шампоан за блясък Hairmilk Natural Shine 250 мл.","7519","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA HC Шампоан за боядисана коса Color Care & Protect 250 мл.","7516","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA MEN Шампоан за мъже Active Clean 250 мл.","7524","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA MEN Шампоан за мъже DEEP 250 мл","14593","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA MEN Шампоан за мъже Strong Power 250 мл.","7522","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA MEN Шампоан за мъже против пърхот Power 250 мл.","7523","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NIVEA Крем сапун Lemongrass & Oil 100 гр.","7473","83","1.57",
"02676","Магазин Банско - Ледена Пързалка","NIVEA Сапун Green Tea & Cucumber 90 гр.","7476","83","1.22",
"02676","Магазин Банско - Ледена Пързалка","NIVEA ШАМПОАН БЛЯСЪК DIAMOND GL 250ml","14591","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NMEN ШАМПОАН SENSITIVE 250 МЛ.","18178","82","6.64",
"02676","Магазин Банско - Ледена Пързалка","NV BABY КЪРПИ FRESH&PURE 57 БР.","16714","84","6.42",
"02676","Магазин Банско - Ледена Пързалка","NV BАBY КЪПРИ SOFT&CREAM 57 БР.","16713","84","6.42",
"02676","Магазин Банско - Ледена Пързалка","NVERDE STITCH Ш-Н ЗА КОСА И ТЯЛО 250 МЛ.","18186","82","5.50",
"02676","Магазин Банско - Ледена Пързалка","OLYMPUS Kисело мляко Български Стандарт 3.6% 400 гр.","4978","7","1.43",
"02676","Магазин Банско - Ледена Пързалка","ORA-B ПАСТА 3DW PRO ARCTIC 75 ML.","16931","81","5.39",
"02676","Магазин Банско - Ледена Пързалка","ORAL-B ПАСТА 3DW PRO VITAL 75 ML.","16906","81","5.39",
"02676","Магазин Банско - Ледена Пързалка","ORAL-B Четка Delicate White 1+1 96/4/4","7884","80","2.12",
"02676","Магазин Банско - Ледена Пързалка","Q МИН.ВОДА 1.5л ВЕЛИНГРАД","2161","73","1.02",
"02676","Магазин Банско - Ледена Пързалка","RABISHA БЯЛО СУХО ВИНО - СОВ. БЛАН 2024 0.75","17756","75","15.34",
"02676","Магазин Банско - Ледена Пързалка","RABISHA ЧЕРВЕНО СУХО ВИНО - КАБ. СОВ. 0.75","17755","76","15.34",
