"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"11538","гр.Свети Влас местност ЮРТА","Шампоан STILENA Soft&Shine 400мл","155","82","1.89",""
"11538","гр.Свети Влас местност ЮРТА","Шампоан STILENA Volume 400мл","162","82","1.89",""
"11538","гр.Свети Влас местност ЮРТА","Шампоан STILENA Refresh 400мл","176","82","1.89",""
"11538","гр.Свети Влас местност ЮРТА","Сапун AYU POP оранжев 65гр","306","83","0.35",""
"11538","гр.Свети Влас местност ЮРТА","Сапун AYU POP кафяв 65гр","338","83","0.35",""
"11538","гр.Свети Влас местност ЮРТА","Сапун AYU POP зелен 65гр.","404","83","0.35",""
"11538","гр.Свети Влас местност ЮРТА","Маслини САНТЕ натурални","429","62","5.77",""
"11538","гр.Свети Влас местност ЮРТА","Маслини РЕГИНА 71/90","503","62","5.85",""
"11538","гр.Свети Влас местност ЮРТА","Маслини РЕГИНА руса едра","632","62","4.39",""
"11538","гр.Свети Влас местност ЮРТА","Ракия КАРНОБАТ гроздова 0.7л","696","77","7.41",""
"11538","гр.Свети Влас местност ЮРТА","Маслини САНТЕ черни","761","62","3.86",""
"11538","гр.Свети Влас местност ЮРТА","Б.вино МАГАРЕШКО МЛЯКО 0.75л","785","75","2.38",""
"11538","гр.Свети Влас местност ЮРТА","Макарони PASTA LENKA мидички 10мм 400гр","812","36","0.71",""
"11538","гр.Свети Влас местност ЮРТА","Ракия ХАН КРУМ гроздова 0.7л","833","77","9.13",""
"11538","гр.Свети Влас местност ЮРТА","Ч.вино СОФИЯ мерло 0.75л","868","76","2.74",""
"11538","гр.Свети Влас местност ЮРТА","Ч.вино СОФИЯ каберне 0.75л","870","76","2.74",""
"11538","гр.Свети Влас местност ЮРТА","Б.вино СОФИЯ мускат 0.75л","872","75","2.74",""
"11538","гр.Свети Влас местност ЮРТА","Б.вино СОФИЯ шардоне 0.75л","874","75","2.74",""
"11538","гр.Свети Влас местност ЮРТА","Ч.вино КАРНОБАТ меча кръв 0.75л","887","76","2.12",""
"11538","гр.Свети Влас местност ЮРТА","Ч.вино МЕХАНДЖИЙСКО 0.75л","907","76","1.84",""
"11538","гр.Свети Влас местност ЮРТА","Б.вино МЕХАНДЖИЙСКО 0.75л","909","75","1.84",""
"11538","гр.Свети Влас местност ЮРТА","Ракия ПОМОРИЙСКА гроздова 0.7л","914","77","8.41",""
"11538","гр.Свети Влас местност ЮРТА","Макарони PASTA LENKA перо/пенне 400гр","994","36","0.71",""
"11538","гр.Свети Влас местност ЮРТА","Макарони PASTA LENKA пружина 400гр","1133","36","0.71",""
"11538","гр.Свети Влас местност ЮРТА","Макарони PASTA LENKA спирала 400гр","1272","36","0.71",""
"11538","гр.Свети Влас местност ЮРТА","Кашкавал БЕЛИИСА краве","1370","10","11.24",""
"11538","гр.Свети Влас местност ЮРТА","Домат червен пр.Турция","1622","54","2.91",""
"11538","гр.Свети Влас местност ЮРТА","Краставица пр.България","1624","58","4.15",""
"11538","гр.Свети Влас местност ЮРТА","Моркови пр.Турция","1634","56","1.02",""
"11538","гр.Свети Влас местност ЮРТА","Лук каба пр.Турция","1637","55","0.89",""
"11538","гр.Свети Влас местност ЮРТА","Зеле пр.България","1639","57","0.79",""
"11538","гр.Свети Влас местност ЮРТА","Картофи пресни пр.България","1643","61","0.86",""
"11538","гр.Свети Влас местност ЮРТА","Банан Доле пр.Еквадор","1704","52","2.14",""
"11538","гр.Свети Влас местност ЮРТА","Портокал пр.Гърция","1706","51","2.14",""
"11538","гр.Свети Влас местност ЮРТА","Лимон пр.Аржентина","1710","50","2.55",""
"11538","гр.Свети Влас местност ЮРТА","Ябълка БГ мрежа","1730","53","1.82",""
"11538","гр.Свети Влас местност ЮРТА","Чай ЛУКЧЕТА мента/лимон 20бр","1834","72","1.07",""
"11538","гр.Свети Влас местност ЮРТА","Зехтин САН ЛАЗАРО екстра върджин 1л","1982","43","13.80",""
"11538","гр.Свети Влас местност ЮРТА","Макарони MELINI пене ригате 400гр","2139","36","1.00",""
"11538","гр.Свети Влас местност ЮРТА","Макарони MELINI фусили 400гр","2141","36","1.00",""
"11538","гр.Свети Влас местност ЮРТА","Макарони MELINI кончилети 400гр","2142","36","1.00",""
