"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","REMEDIUM 1 - ул. Добруджа №15","ИНДОМЕТАЦИН СУПОЗ 50МГ 6БР СОФ ST-3\S-2,8\V-\F* T*","000001","94","1.51",""
"68134","REMEDIUM 1 - ул. Добруджа №15","ЕСПУМИЗАН L ЕМУЛСИЯ 40МГ/МЛ 30МЛ 1 F5\ST4\S2,8","000501","87","4.47",""
"68134","REMEDIUM 1 - ул. Добруджа №15","НИВЕА HC ШАМПОАН П/В ПЪРХОТ НК 250МЛ L0S*","000708","82","2.30",""
"68134","REMEDIUM 1 - ул. Добруджа №15","КРИСПА САПУН ДОКТОРСКИ 100ГР","000765","83","1.27",""
"68134","REMEDIUM 1 - ул. Добруджа №15","НАКЛОФЕН АМП 75МГ 3МЛ 5БР КУТИЯ ST9\S7,8\F6\ E","000921","94","1.91",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АЛЕРГОЗАН КРЕМ 1% 18Г СОФ 1 #2 S4\ST3\F2","001033","91","4.12",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АЛЕРГОЗАН УНГВ 1% 18Г СОФ 2 #3 S4\ST3\F2","001034","91","4.12",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АЛМАГЕЛ СУСП 170МЛ 2 ST-3\S-3\V10\F2","001036","86","2.63",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АЛМАГЕЛ А СУСП 170МЛ S-4,8\ST-3\F-2\V-8 T*","001037","86","3.98",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АНАЛГИН АМП 50% 2МЛ 10БР КУТИЯ 1 ST3\F2\S1,8","001059","96","7.14",""
"68134","REMEDIUM 1 - ул. Добруджа №15","УПСАРИН ТБ ЕФ 330МГ 20БР #1#5#12 S-3,8\ST2#\F-2\V-4","001090","96","3.82",""
"68134","REMEDIUM 1 - ул. Добруджа №15","АСПИРИН ВИТ С ТБ ЕФ 10БР F7\S6,8\ST6","001093","96","4.02",""
