"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АБРИКОРТ крем 15гр.","10","90","4.65",""
"72624","Дянков Фарма ЕООД - Добрич Ритейл парк -","АБРИКОРТ крем 15гр.","10","90","4.78",""
"66425","Дянков Фарма ЕООД - Силистра - УЛ.СИМЕОН ВЕЛИКИ","АБРИКОРТ крем 15гр.","10","90","4.73",""
"00182","Равиа ЕООД - Равиа Аксаково -","АБРИКОРТ крем 15гр.","10","90","4.83",""
"10135","Равиа ЕООД - Равиа Цветен -","АБРИКОРТ крем 15гр.","10","90","4.74",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АБРИКОРТ крем 15гр.","10","90","4.78",""
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АЦЦ 200 сашети 200мг.х20","15","99","6.77",""
"72624","Дянков Фарма ЕООД - Добрич Ритейл парк -","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"66425","Дянков Фарма ЕООД - Силистра - УЛ.СИМЕОН ВЕЛИКИ","АЦЦ 200 сашети 200мг.х20","15","99","6.90",""
"00182","Равиа ЕООД- Равиа Аксаково център -","АЦЦ 200 сашети 200мг.х20","15","99","7.04",""
"00182","Равиа ЕООД - Равиа Аксаково -","АЦЦ 200 сашети 200мг.х20","15","99","7.04",""
"10135","Равиа ЕООД - Равиа Цветен -","АЦЦ 200 сашети 200мг.х20","15","99","6.90",""
"72624","Дянков фарма ЕООД - Равиа Добрич - Добрич,пл.Свобода 2","АЦЦ 200 сашети 200мг.х20","15","99","6.97",""
"72624","Дянков Фарма ЕООД - Добрич Ритейл парк -","АФРИН назал спрей 20мл.","69","97","5.01",""
"10135","Равиа ЕООД - Равиа Цветен -","АФРИН назал спрей 20мл.","69","97","4.95",""
"35064","Дянков фарма ЕООД - Равиа Каварна - гр. Каварна, ул. България 30","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.82",""
"72624","Дянков Фарма ЕООД - Добрич Ритейл парк -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.91",""
"66425","Дянков Фарма ЕООД - Силистра - УЛ.СИМЕОН ВЕЛИКИ","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.88",""
"00182","Равиа ЕООД- Равиа Аксаково център -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.93",""
"00182","Равиа ЕООД - Равиа Аксаково -","АЛКА - ЗЕЛЦЕР ефф.тбл.х10","92","96","2.93",""
