"Населено място","Търговски обект","Наименование на продукта","Код на продукта",Категория,"Цена на дребно","Цена в промоция"
68134,Зоя.БГ,"Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Аксаков","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Добруджа","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Неофит","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Гарибалди","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Веслец","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Парадайс","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Сан Стефано","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,"Магазин Парк Център","Чай от българска роза и зелен чай Energy",310000112533695632569,72,5.70,0
68134,Зоя.БГ,"Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Аксаков","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Добруджа","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Неофит","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Гарибалди","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Веслец","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Парадайс","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Сан Стефано","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,"Магазин Парк Център","Плодова напитка от киви с вино Совиньон блан",100007666566,75,9.23,0
68134,Зоя.БГ,"Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Аксаков","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Добруджа","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Неофит","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Гарибалди","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Веслец","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Парадайс","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Сан Стефано","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,"Магазин Парк Център","Бял шоколад с малини - 80 г",2746547,69,3.25,0
68134,Зоя.БГ,"Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Аксаков","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Добруджа","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Неофит","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Гарибалди","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Веслец","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Парадайс","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Сан Стефано","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,"Магазин Парк Център","Био бебешка оризова каша – 250 г",897478,63,4.93,0
68134,Зоя.БГ,"Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Аксаков","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Добруджа","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Неофит","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Гарибалди","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Веслец","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Парадайс","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Сан Стефано","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,"Магазин Парк Център","Био белени домати в консерва – 400 г",0984896,48,2.43,0
68134,Зоя.БГ,"Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Аксаков","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Добруджа","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Неофит","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Гарибалди","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Веслец","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Парадайс","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Сан Стефано","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,"Магазин Парк Център","Билков чай Борови връхчета - био",00297985105,72,6.98,0
68134,Зоя.БГ,"Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Аксаков","Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Добруджа","Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Неофит","Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Гарибалди","Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Веслец","Билков чай Коприва - био",096304852,72,6.98,0
68134,"Магазин Парадайс","Билков чай Коприва - био",096304852,72,6.98,0
