"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","MERILYN SLIMS PINK","000032","78","3.17",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","KING RED","000048","78","2.97",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","MERILYN SLIMS BLUE","000071","78","3.17",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ОЦЕТ КУЛИНАР 0.7 Л","000173","44","1.25",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Р-Я ПЕЩЕРА ГРОЗДОВА 0.7 Л","000175","77","7.34","5.87"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Р-Я ПЕЩЕРА ОТЛЕЖАЛА 0.7 Л","000181","77","8.29","6.64"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Р-Я МУСКАТОВА ШАТО КОПСА ОТ РОЗОВАТА ДОЛИНА 700МЛ","000280","77","8.74","7.15"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","МВ ГОРНА БАНЯ 1.5 Л","000344","73","0.62","0.52"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ЕЛСЕВ 250МЛ ПОДСИЛВАЩ ЧЕРЕН","000371","82","5.16",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ОЦЕТ КУЛИНАР ЯБЪЛКОВ 0.7","000419","45","1.25",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ЛОГОДАЖ КЕРАЦУДА 0.75","000460","75","3.29",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З КОЛГЕЙТ МАКС УАЙТ 75МЛ","000510","81","2.86","1.99"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЯМБОЛСКА ГРОЗДОВА 0.7  +","000623","77","6.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З БИЛКА ДЕНТ  ХОМЕОПАТИЧНА ГРЕЙПФРУТ 75МЛ","000653","81","2.61",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КОРИ ТОЧЕНИ БЕЛЛА 400Г","000808","5","1.78",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КОРИ ТОЧЕНИ ФАМИЛИЯ 500Г","000809","5","2.04",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕЗЕК СОВ.БЛАН И ПИНО ГРИС 0.75Л","000818","75","6.49",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕЗЕК ШАРДОНЕ 0.75Л","000825","75","6.49",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ОЦЕТ ЯБЪЛКОВ ВТ 0.7Л","000889","45","1.40",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ОЦЕТ ЯБЪЛКОВ ВТ 0.7 С МЕД","000890","45","1.63",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ВЕРАНО АЗУР БЯЛО СОВ.БЛАН И ВИОНЕ 0,75","000921","75","6.34",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВЕРЕЯ ПРЯСНО МЛЯКО 3% 1Л","001065","6","1.66","1.40"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО САЙКЪЛ КАБЕРНЕ&МЕРЛО 0.75","001115","76","5.85","4.79"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО САЙКЪЛ МЕРЛО&ПИНО НОАР 0.75","001116","76","5.85","4.79"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","С-М СЕРВИЛАТ ЕМ","001125","28","8.94",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КЕН КРЕНВИРШ","001133","26","6.03",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Б-ТИ ОБИКНОВЕНИ РОДЕН КРАЙ 190ГР *15","001149","66","1.07","0.84"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕХАНДЖИЙСКО 0.75 БЯЛО КАРНОБАТ","001275","75","1.58",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СТРАЖИЦА СТАРА ЗАГОРА 650Г","001298","1","0.84",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СТРАЖИЦА ТИПОВ 500Г","001302","4","0.78",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СТРАЖИЦА ДОБРУДЖА  650Г","001303","2","0.84",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЛИМОН","001355","50","2.68",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","БАНАН","001356","52","1.66","1.69"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЛУК ЗРЯЛ","001359","55","0.64",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЯБЪЛКА ЗЛАТНА ПРЕВЪЗХОДНА ИТАЛИЯ","001363","53","2.20",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ДОМАТ ЧЕРВЕН","001364","54","2.69",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЧЕСЪН ЕДЪР","001370","59","4.35",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","МОРКОВИ","001373","56","1.02",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЗЕЛЕ","001376","57","0.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ГРОЗДЕН 0.7","001459","77","6.44",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ МИО БЪЛГАРИЯ 650Г УС","001492","1","0.83",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","СВ ПЪРЖОЛА ОТ БУТ","001573","19","6.64",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ РЕСЕН БЪЛГАРИЯ 650Г","001638","1","0.96",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ РЕСЕН ДОБРУДЖА 650Г","001639","2","0.96",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО БРАТЯ МИНКОВИ МЕРЛО 0,75","001790","76","10.79",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ФРУКТИС 250МЛ КОЛОР РЕЗИСТ","001816","82","4.09","2.80"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ФРУКТИС 250МЛ ГРОУ СТРОНГ","001817","82","4.09","2.80"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕХАНДЖИЙСКО 0.75 КАРНОБАТ ЧЕРВЕНО","001856","76","1.58",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ТЕЛЕШКО МЕСО ЗА ГОТВЕНЕ","001900","24","12.52",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","САПУН ПАЛМОЛИВ 90Г МАСЛИНА","001972","83","1.15","0.66"
