"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ХЛЯБ БЪЛГАРИЯ СТРАЖИЦА 500 ГР.","23817","1","0.56",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ХЛЯБ РЪЖЕН/ПШЕНИЧЕН 500 ГР.","11903","3","1.12",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ХЛЯБ ТИПОВ СТРАЖИЦА 500 ГР","23819","4","0.69",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КОРИ ЗА БАНИЦА ТРАКИЙСКИ 400 гр.","11544","5","1.22",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПРЯСНО МЛЯКО ВАРЕНО БОР ЧВОР","22902","6","1.32",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КИСЕЛО МЛЯКО СИМЕТРИЯ 3.6% 370 ГР.","23516","7","0.46",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРАВЕ СИРЕНЕ ДЯНКОВО 1 кг","3054","8","4.24",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРАВЕ СИРЕНЕ БОРЯНА МЕРОНЕ 200 ГР. ВАКУУМ","25041","9","1.94",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КАШКАВАЛ СЛАВЕЯ ТОСТЕРЕН","3405","10","8.12",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КАШКАВАЛ ФЕРИЯ МИЛК МАКЛЕР 200 ГР.","26063","11","2.14",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРАВЕ МАСЛО СИТОВО 125гр","28718","12","1.58",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ИЗВАРА КОРТЕТ 1кг","2290","13","2.40",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ИЗВАРА ОЛИМПУС 400 гр","190","14","1.99",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПИЛЕ ОХЛАДЕНО ЕРКО 1кг","2748","15","4.29",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПИЛЕШКО  ОХЛАДЕНО ЕРКО ФИЛЕ 1кг","2923","16","7.41",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПИЛЕШКО ОХЛАДЕНО ЕРКО БУТЧЕ 1кг","2927","17","3.63",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СВИНСКИ ВРАТ 1кг","2211","21","7.92",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СВИНСКО МЕСО 1кг","2209","22","6.03",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","МЛЯНО МЕСО СТЕЗИС 1кг","2651","25","5.11",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРЕНВИРШ ПТИЧЕ МЕСО ГРАДУС","2818","26","2.76",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","МАКЕДОНСКА НАДЕНИЦА ФЕРМАТА","3456","27","3.47",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ШПЕК КЛАСИК ЧИЧОВЦИ 300 ГР","26100","28","2.19",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СКУМРИЯ ЗАМРАЗЕНА 1 кг","2534","29","5.87",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЯЙЦА L 10 бр.","51","32","2.20",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БОБ КРИНА 1Г","16392","33","3.06",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЛЕЩА КРЪСТЕВ 1КГ","20050","34","2.50",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ОРИЗ БИСЕРЕН 1КГ","16233","35","1.68",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","МАКАРОНИ 400ГР КРЪСТЕВ","27154","36","0.49",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СПАГЕТИ АНКАРА 500 ГР","23772","37","1.02",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЗАХАР ЕСТЕЛИС 1 КГ","15602","38","0.87",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СОЛ СЛАВЯНКА 1 КГ","13649","39","0.38",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БРАШНО МЛИН ТИП БЯЛО 1КГ","18317","40","0.61",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БРАШНО СОФИЯ МЕЛ 1 КГ","13412","41","1.02",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ОЛИО КЛАС 1 Л","10051","42","1.79",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЗЕХТИН МИНЕРВА 1 Л POMAC","19798","43","7.15",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ОЦЕТ ВИНЕН 700ГР","10093","44","0.46",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ОЦЕТ ЯБЪЛКОВ ТЪРНОВО 700 ГР","14434","45","1.02",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БОБ БЯЛ DEGUSTO МЕТАЛНА КУТИЯ 400 ГР.","13482","46","1.12",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ГРАХ ЗЕЛЕН КРЪСТЕВ МЕТАЛНА КУТИЯ 400 ГР.","24856","47","0.97",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ДОМ КУБЧЕТА 400гр","14054","48","0.97",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЛЮТЕНИЦА ПЕТЕЛ 575 ГР.","21151","49","1.84","1.55"
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЛИМОНИ","2187","50","3.32",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПОРТОКАЛИ","2142","51","1.60",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БАНАНИ","2127","52","2.04",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЯБЪЛКА ЧЕРВЕНА","2130","53","1.63",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ДОМАТИ","2132","54","2.85",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЛУК","2138","55","0.86",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","МОРКОВИ","2141","56","1.12",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЗЕЛЕ","2140","57","0.66",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРАСТАВИЦА","2383","58","2.70",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ЧЕСЪН","2285","59","5.62",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ГЪБИ","2538","60","4.60",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КАРТОФИ","2397","61","0.71",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","МАСЛИНИ ЧЕРНИ ГРЪЦКИ 70-90","2170","62","4.39",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","СЛЪНЧО МЛЕЧНА КАША БАНАНОВА","12668","63","2.86",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","ПЛОДОВО ПЮРЕ 190ГР","11730","64","1.02",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","АДАПТИРАНО МЛЯКО ФРИЗО 3 400 ГР","12689","65","9.15",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","БИСКВИТИ PETIT BEURRE BELISSIMO 100 ГР","22336","66","0.20",""
"32874","ЕТ Лозана Фикрет Салиев - Магазин Лозана - ул. Хан Аспарух бл.2","КРОАСАН GUSTO 55 ГР","24096","67","0.25",""
