"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"32901","ИХТИМАН МАГАЗИН 2","МИНИ ШОКОЛАДЧЕТА С МЛЕЧЕН ПЪЛНЕЖ MAITRE TRUFFOUT, 100 Г","82341 ","69","1.84","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ - GINA, 250 Г","87347 ","70","5.11","0"
"32901","ИХТИМАН МАГАЗИН 2","ФИНА МОРСКА СОЛ WIKO В КУТИЯ, 1 КГ","87508 ","39","0.81","0"
"32901","ИХТИМАН МАГАЗИН 2","БЕЛЕНИ ДОМАТИ PIACELLI КОНСЕРВА, 400 Г","84979 ","48","1.43","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЕЧЕН ШОКОЛАД MAITRE TRUFFOUT С ЦЕЛИ ЛЕШНИЦИ КУТИЯ, 100 Г","89434 ","69","2.55","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ LAVAZZA CREMA GUSTO RICCO, 250 Г","123001 / 777530 ","70","7.15","0"
"32901","ИХТИМАН МАГАЗИН 2","ШАМПОАН DIMENSION ЗА СВЕТЛА КОСА, 200 МЛ","491785 ","82","2.04","0"
"32901","ИХТИМАН МАГАЗИН 2","ЧЕТКА ЗА ЗЪБИ CLENDY BABY ORSO НА КАРТОН 7-12 Г","635020/275083 ","80","1.02","0"
"32901","ИХТИМАН МАГАЗИН 2","ЧЕТКА ЗА ЗЪБИ CLENDY PULISCI LINGUA С НАКРАЙНИК ЗА ЕЗИК","118345/635030 ","80","1.07","0"
"32901","ИХТИМАН МАГАЗИН 2","ЧЕТКА ЗА ЗЪБИ CLENDY HIGH TOUCH НА КАРТОН","151249 ","80","1.07","0"
"32901","ИХТИМАН МАГАЗИН 2","БЕБЕШКИ МОКРИ КЪРПИЧКИ HUGGIES 56 БР ","7633/113652","84","1.27","0.854"
"32901","ИХТИМАН МАГАЗИН 2","ТОАЛЕТЕН САПУН DOVE CREAM OIL В КУТИЯ, 2х90 Г ","198465","69","3.57","0"
"32901","ИХТИМАН МАГАЗИН 2","МИНЕРАЛНА ВОДА FONTE ITALA NATURALE 1.5 Л","638837 ","73","0.86","0"
"32901","ИХТИМАН МАГАЗИН 2","БОБ ГИГАНТ IVANKA, КОНСЕРВА 800 Г","84872 ","46","2.3","0"
"32901","ИХТИМАН МАГАЗИН 2","ЧЕРВЕН БОБ IVANKA, КОНСЕРВА 800 Г","84873 ","46","2.09","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ IVANKA, КОНСЕРВА 800 Г","84874 ","46","2.3","0"
"32901","ИХТИМАН МАГАЗИН 2","КАФЕ НА ЗЪРНА GINA CAFFE CREMA, 1 КГ","92739 ","71","16.87","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС PIACELLI КЛАСИК 690 Г","93669 ","48","1.94","0"
"32901","ИХТИМАН МАГАЗИН 2","САПУН FELCE AZZURA BIO ARGAN, 125 Г ","105093","83","2.14","0"
"32901","ИХТИМАН МАГАЗИН 2","ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ ANTICA ERBORISTERIA, 75 МЛ","663323","81","1.53","0"
"32901","ИХТИМАН МАГАЗИН 2","ПАСТА ЗА ЗЪБИ ANTICA PURIFICANTE MENTA/EUCALIPTO, 75 МЛ","052367/158019 ","81","1.53","0"
"32901","ИХТИМАН МАГАЗИН 2","ДЕТСКА ПАСТА ЗА ЗЪБИ DENTHORAL 50 МЛ, DOLPHY","641009 ","81","1.32","0"
"32901","ИХТИМАН МАГАЗИН 2","ПАСТА/СПАГЕТИ DE CECCO №11, 500 Г","0283/335011 ","37","2.55","0"
"32901","ИХТИМАН МАГАЗИН 2","СПАГЕТИ DE CECCO №412, 500 Г","335020 ","37","1.48","0"
"32901","ИХТИМАН МАГАЗИН 2","СЛЪНЧОГЛЕДОВО ОЛИО AMATO, 1 Л","388009","42","0.51","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС BARILLA OLIVE С МАСЛИНИ 400 Г","7051/020706/771622 ","48","3.06","0"
"32901","ИХТИМАН МАГАЗИН 2","СПАГЕТИ DE CECCO ZITA №18, 500 Г","335089 ","37","2.04","0"
"32901","ИХТИМАН МАГАЗИН 2","СПАГЕТИ DE CECCO QUADRATI №413, 500 Г","139550/335049 ","37","1.48","0"
"32901","ИХТИМАН МАГАЗИН 2","МИНЕРАЛНА ВОДА SAN BENEDETTO ZERO PET 1.5 Л ","796910 ","73","1.05","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ ILLY CLASSICA PER MOKA, КУТИЯ 250 Г ","07728/777298 ","70","9.2","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ LAVAZZA CLASSIC DEK, БЕЗКОФЕИНОВО 250 Г","320060/7776/777536","70","7.66","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ LAVAZZA INTENSO, БЕЗКОФЕИНОВО 250 Г","106595/777537/7777","70","5.36","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ LAVAZZA SUERTE 250 Г","14208/777524","70","5.62","0"
"32901","ИХТИМАН МАГАЗИН 2","МИНЕРАЛНА ВОДА GOCCIA CARNIA NATURALE 1.5 Л","796400 ","73","0.51","0"
"32901","ИХТИМАН МАГАЗИН 2","МИНЕРАЛНА ВОДА RECOARO NATURALE 1.5 Л","796800","73","0.46","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ AMATO CANNELLINI КОНСЕРВА 400 Г","546014 ","46","0.51","0"
"32901","ИХТИМАН МАГАЗИН 2","КАФЕ НА ЗЪРНА SEGAFREDO INTERMEZZO ESPRESSO 1 КГ","853000/1153/0226-2","71","17.38","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ LA NORIA ЕКСТРА КАЧЕСТВО 570 Г ","306285","46","1.17","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ СЪС ЗЕЛЕНЧУЦИ LA NORIA 570 Г ","14670","46","1.43","0"
"32901","ИХТИМАН МАГАЗИН 2","ЕДЪР БОБ PENELAS КАТЕГОРИЯ ЕКСТРА 570 Г ","12630","46","1.43","0"
"32901","ИХТИМАН МАГАЗИН 2","МИНЕРАЛНА ВОДА LAURETANA PET NATURALE 1.5 Л","144587/503208 ","73","1.1","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС MUTTI, 700 Г","54441/771103/033023 ","48","2.45","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС VALFRUTA VELLUTATA PASSATA 700 Г","152384/771202 ","48","1.68","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС PETTI PASSATA EXTRAFINE 700 Г","771250 ","48","2.35","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛА ЗАХАР CLASSICO, 1 КГ","779800","38","2.5","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛА ЗАХАР CLASSICO, 1 КГ","779800","38","2.5","0"
"32901","ИХТИМАН МАГАЗИН 2","БЕЛЕНИ ДОМАТИ CIRIO CILIEGINI DI PUGLIA, КОНСЕРВА 400 Г","132121/771041 ","48","1.02","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ CHEFS 540 Г","90993","46","1.27","0"
"32901","ИХТИМАН МАГАЗИН 2","БЯЛ БОБ CHEFS СЪС ЗЕЛЕНЧУЦИ 540 Г","90337","46","1.48","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС CIRIO MAREMMA EXTRAFINE 700 Г","163186/374926 ","48","1.84","0"
"32901","ИХТИМАН МАГАЗИН 2","БЕЛЕНИ ДОМАТИ CIRIO КОНСЕРВА 400 Г","16371/104002/771048 ","48","1.68","0"
"32901","ИХТИМАН МАГАЗИН 2","ДОМАТЕН СОС GRANORO PASSATA 690 Г","8974","48","1.99","0"
"32901","ИХТИМАН МАГАЗИН 2","НАРЯЗАНИ ДОМАТИ GRANORO, КОНСЕРВА 400 Г","8981","48","1.02","0.854"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ VERGNANO 1882-100% АРАБИКА, КУТИЯ 250 Г","2913","70","9.2","0"
"32901","ИХТИМАН МАГАЗИН 2","МЛЯНО КАФЕ HAG CLASSICO, БЕЗКОФЕИНОВО 250 Г","777400/7791 ","70","4.6","0"
