"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ МАЙ МАРКЕТ 700ГР БЯЛ СЪС ЗАКВАСКА","000101","1","0.81",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",К-Л КРАВИ БОЛЯРКА ВАКУУМ /150/","000795","11","10.94",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОСЕТ 30ГР БИЛКОВ МЕНТА","000922","72","0.97",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ЧАЙ БИОСЕТ 40ГР БИЛКОВ ШИПКА","000924","72","0.97",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КОРИ БЕЛЛА 400ГР ТОЧЕНИ","001027","5","1.63",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КОРИ ФАМИЛИЯ 500ГР ТОЧЕНИ","001028","5","2.16",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР ПШЕНИЧЕН БЯЛ","001048","1","1.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ДОБР ХЛЯБ 550ГР ТОСТЕР РЪЖЕН ПШ","001053","3","1.17",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ВИТА СИЛУЕТ 400ГР РЪЖЕН С ЦЕЛИ ЗЪРНА","001124","3","1.84",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СИРЕНЕ","001148","68","2.19","2.04"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БАНИЧКИ БЕЛЛА 8*60ГР ТОЧЕНИ КОРИ СПАНАК И СИРЕНЕ","001153","68","2.19",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ ТИПОВ","001184","4","1.43",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ЛАГАРД 450ГР СЕЛСКИ РЪЖЕН","001185","3","1.43",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КОРИ ТРАКИЙСКИ 400ГР ТОЧЕНИ","001310","5","1.53",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ДЕМЕА 650ГР БЯЛ ПАКЕТИРАН","001413","1","1.02",""
