"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ИНДОМЕТАЦИН СУПОЗ 50МГ 6БР СОФ ST-3\S-2,8\V-\F* T*","000001","94","1.51",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ЕСПУМИЗАН L ЕМУЛСИЯ 40МГ/МЛ 30МЛ 1 F5\ST4\S2,8","000501","87","4.47",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","НИВЕА HC ШАМПОАН П/В ПЪРХОТ НК 250МЛ L0S*","000708","82","2.30",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","КРИСПА САПУН ДОКТОРСКИ 100ГР","000765","83","1.27",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","НАКЛОФЕН АМП 75МГ 3МЛ 5БР КУТИЯ ST9\S7,8\F6\ E","000921","94","1.91",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛЕРГОЗАН КРЕМ 1% 18Г СОФ 1 #2 S4\ST3\F2","001033","91","4.12",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛЕРГОЗАН УНГВ 1% 18Г СОФ 2 #3 S4\ST3\F2","001034","91","4.12",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛМАГЕЛ СУСП 170МЛ 2 ST-3\S-3\V10\F2","001036","86","2.63",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АЛМАГЕЛ А СУСП 170МЛ S-4,8\ST-3\F-2\V-8 T*","001037","86","3.98",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АНАЛГИН АМП 50% 2МЛ 10БР КУТИЯ 1 ST3\F2\S1,8","001059","96","7.14",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","УПСАРИН ТБ ЕФ 330МГ 20БР #1#5#12 S-3,8\ST2#\F-2\V-4","001090","96","3.82",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АСПИРИН ВИТ С ТБ ЕФ 10БР F7\S6,8\ST6","001093","96","4.02",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","АТРОПИН СУЛФУРИК АМП 0.01% 1МЛ 10БР КУТИЯ СОФ 3 ST*F*S1,8","001101","87","5.42",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БИЗАЛАКС ТБ 5МГ 30БР 1 S4,8\ST3\F2\D","001138","88","2.33",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БРАУНОВИДОН УНГВ 20Г 3 F2\S-0\ST*\V-","001161","92","2.18",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БРОМХЕКСИН ТБ 8МГ 20БР АКТ 1 S-4,8\ST3\F3\V6\D","001166","99","2.56",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БРОМХЕКСИН АМП 2МГ/МЛ 2МЛ 10БР СОФ ST3\F2\S1,8\V-7","001167","99","7.98",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","БУСКОЛИЗИН АМП 2% 1МЛ 10БР КУТИЯ ST3\F2\S1,8","001173","87","7.31",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ВИБРОЦИЛ СОЛУЦИО 15МЛ 1 ST0\F0\S0\ 1","001202","97","5.04",""
"68134","REMEDIUM 2 - ул. Цар Иван Шишман №17","ЕФИЗОЛ ТБ 20БР 1 ST4\F3\S2,8","001400","98","2.56",""
