"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"65677","Хранителна борса Сарандиев","Бял хляб Яневи 650гр.","17","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб Хасково 650гр.","3","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб Карина 650гр.","11","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб България 650гр.","100011","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб Предпочитаният хляб 650гр.","200011","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб Истинския хляб 650гр.","1000902","1","0.92","0"
"65677","Хранителна борса Сарандиев","Бял хляб със закваска 500гр.","1000762","1","1.15","0"
"65677","Магазин Граничар","Бял хляб Хасково 650гр.","1","1","0.92","0"
"65677","Магазин Граничар","Бял хляб Яневи 650гр.","1001","1","0.92","0"
"65677","Хранителна борса Сарандиев","Хляб Добруджа Харманли 650гр.","4","2","0.92","0"
"65677","Хранителна борса Сарандиев","Типов хляб  Яневи 650гр.","100017","4","0.92","0"
"65677","Хранителна борса Сарандиев","Типов хляб  Истинския хляб Харманли 500гр.","1196","4","0.86","0"
"65677","Магазин Граничар","Типов хляб Яневи 500гр.","1002","4","0.92","0"
"65677","Хранителна борса Сарандиев","Точени кори Белла 400гр.","35","5","1.79","0"
"65677","Хранителна борса Сарандиев"," Фамилия финни точени кори 500гр.","36","5","1.85","0"
"65677","Хранителна борса Сарандиев"," Тракийски точени кори 400гр.","39","5","1.35","0"
"65677","Хранителна борса Сарандиев","Одрински кори 500гр.","2624","5","1.69","0"
"65677","Хранителна борса Сарандиев","Фини Одрински кори 500гр.","378","5","1.72","0"
"65677","Хранителна борса Сарандиев","Пълнозърнести точени кори Белла 400гр.","2175","5","1.79","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Верея 3% 1л","1001228","6","1.66","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Меггле 3.2% 1л","1001619","6","1.65","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Боженци 3.5% 1л","1674","6","1.75","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Булгареа 3.6% 1л","1383","6","1.60","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Белисима 3.2% 1л","2553","6","1.45","0"
"65677","Хранителна борса Сарандиев","Прясно мляко Българче 3.2% 1л","10002553","6","1.45","0"
"65677","Магазин Граничар","Прясно мляко Саяна 3.2% 1л","64","6","1.22","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Саяна 3.6% в кофичка 400гр.","1000356","7","0.64","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Тонус 3.6% в кофичка 400гр.","2212","7","0.71","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Народан дар 2% в кофичка 400гр.","1000114","7","0.65","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Народан дар 3.6% в кофичка 400гр.","1000291","7","0.70","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Булгареа 3.6% в кофичка 500гр.","1001751","7","0.95","0"
"65677","Хранителна борса Сарандиев","Кисело мляко Кортен 3.6% в кофичка 400гр.","2321","7","0.65","0"
