"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.33",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ДЕРМОДРИН унгв 30г","00011485","91","4.25",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","3.85"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","3.85"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","6.27",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.54",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","3.09",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","5.96",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.05",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.43",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.59",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.41",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.37",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.48",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","3.85"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","6.88",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.64",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ГЪМ ДЖУНИЪР паста за зъби 7+год 50мл","1016953","81","2.47",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.36",""
"56784","Аптека Марешки Пловдив 26 / 435 / гр.Пловдив, бул. България 61","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.64",""
