"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","3.85"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","3.85"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМИЧЕ/ЯГОДА 75мл","1012822","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.36",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","НУРОФЕН табл 200мг х 24бр","1019521","94","5.30",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.99",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","4.70",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.56",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ПОМОРИН КЛАСИК паста за зъби 100мл","1027148","81","1.54",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","СЕПТАНАЗАЛ за възрастни спрей за нос 1мг/50мг 10мл","1027608","97","3.76",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"43952","Аптека Марешки Ловеч 1 / 498 / гр. Ловеч, ул.Димитър Пъшков 22А","АЦЕЦИС АКУТ сашети 600мг х 10бр","1028067","99","6.01",""
