"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","3.85"
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НУРОФЕН табл 200мг х 24бр","1019521","94","5.29",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ОТИРЕЛАКС капки за уши 15мл","1022160","101","4.15",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.99",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДОЛОРЕН филм табл 200мг х 10бр","1026355","94","1.47",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИАЛГИН капки 500мг/мл 20мл","1028253","96","4.38",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕЛГИДИУМ ИНСПИРЕЙШЪН четка за зъби медиум","1028728","80","5.64",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","СТРЕПСИЛС ИНТЕНЗИВ спрей 8.75мг/доза разтвор 15мл","1030081","98","7.21",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИБУЛЕК сашети 400мг х 10бр","1030132","94","5.40",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕКЗОДЕРИЛ крем 1% 30гр","1031358","90","9.42",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АЛМИРАЛ гел 1.16% 100гр","1032078","95","6.95",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КСИЗАЛ филм табл 5мг х 20бр(Бестамед)","1032706","100","10.30",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ХЕКСАЛГИН ДЕЦА сол 500мг/мл 20мл","1033246","96","5.41",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АНГАЛ МЕНТОЛ табл за смучене 5мг/1мг х 24бр","1033315","98","7.00",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АНГАЛ МЕНТОЛ спрей за устна лигавица 2мг/мл + 0.5мг/мл 30мл","1033316","98","9.24",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АНГАЛ ЛИМОН табл за смучене 5мг/1мг х 24бр","1033317","98","7.00",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИБУПРОМ СПРИНТ МАКС капс 400мг х 10бр","1033579","94","4.77",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КЕТОНАЛ капс 50мг х 20бр","1033870","94","6.52",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИКЛАК МАКС 5% гел 50мг/гр 50гр","1034135","95","6.74",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","МИГ ДЖУНИЪР перорална суспензия 40мг/мл 100мл х 1бр","1034732","94","4.36",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИАЛГИН ДЕЦА капки 500мг/мл 20мл","1034831","96","4.36",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","СТРЕПСИЛС ИНТЕНЗИВ ПОРТОКАЛ без захар табл за смучене х 16бр","1034899","98","4.96",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕЛАКСА ПИКО табл 5мг х 20бр","1035891","88","4.38",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ОТРИВИН ПЛЮС 1мг/мл + 50мг/мл спрей за нос 0.05% 10мл","1036062","97","6.52",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","БЕНАЛГИН РАПИД прах за перорален разтвор х 10бр","1036402","96","3.56",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КЕТОНАЛ ИНТЕНЗИВ сашети 50мг х 12бр","1036474","94","7.34",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕНТЕРОЛ прах за перорална сусп 250мг х 20бр","1036640","89","12.84",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕНТЕРОЛ капс 250мг х 12бр","1036641","89","6.76",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФАРИНГОСЕПТ табл за смучене 8.75мг х 20бр","1036864","98","4.30",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АНАЛГИН МАКС сашети 1000мг х 6бр","1036937","96","2.87",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 20бр","1037039","94","9.20",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ОКЛИС ФОРТЕ гранули за перорален р-р сашети 600мг х 10бр","1037040","94","6.16",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИБУЛЕК ЗА ДЕЦА 100мг/5мл перорална сусп х 120мл","1037617","94","3.71",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФЛУРБИМЕД МИНТ табл за смучене х 20бр","1037842","98","5.26",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АЦЦ МЕД И ЛИМОН САШЕТИ 600МГ Х 10БР","1037947","99","8.50",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕНТЕРОЛ капс 250мг х 30бр","1038032","89","14.82",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ОКЛИС /ЕКСПРЕС/ гранули за перорален р-р сашети 400мг х 10бр","1038160","94","5.34",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ПСИЛО - БАЛСАМ гел 1% 50гр","1038455","91","8.21",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ПАНАКТИВ БЕЙБИ 125мг супозитории х 5бр","1038798","94","3.26",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ПАНАКТИВ БЕЙБИ 60мг супозитории х 5бр","1038799","94","2.90",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КЕТАЛГО гранули за перорален р-р в сашети 50мг х 6бр","1038816","94","4.12",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НИЗОРАЛ шампоан 2% 100мл","1039141","90","13.46",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КСИЛОДЕКС 1мг/мл + 50мг/мл спрей за нос разтвор 10мл","1039190","97","4.79",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КСИЛОДЕКС 0.5мг/мл + 50мг/мл спрей за нос разтвор 10мл","1039239","97","4.58",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕНТЕРОЛ прах за перорална сусп 250мг х 6бр","1039305","89","4.37",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","АНГАЛ ЛИМОН спрей за устна лигавица 2мг/мл + 0.5мг/мл х 30мл","1039306","98","9.34",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КЪРПИ МОКРИ ЗА БЕБЕ ВМ с капак х 72бр","1039443","84","1.12",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс 400мг х 20бр","1039476","94","8.79",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КСИЗАЛ перорален разтвор 0.5мг/мл 200мл","1039669","100","4.99",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","КЕТОФЛЕКС инж разтвор 50мг/мл 2мл х 10бр","1040004","94","9.59",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ХЕКСОРАЛЕТЕН Н табл за смучене 16бр","1040461","98","5.44",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ДИКЛАК МАКС 5% гел 150гр","1040706","95","13.07",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ИБУЛЕК сашети 200мг х 10бр","1040997","94","4.05",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ВОЛТАРЕН ЕМУЛГЕЛ гел 1.16% 100 г","1041032","95","9.80",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 120гр","1041093","95","8.06",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ФЕЛОРАН СОФАРМА гел 1% 120гр","1041133","95","6.94",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ЕЛГИДИУМ КЛИНИК СЕНСИЛИЙВ паста за зъби 50мл","1041158","81","6.48",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","ТРАКТУС 600мг прах за перорален разтвор сашети х 10бр","1041202","99","5.92",""
"14218","Аптека Марешки Габрово 3 / 333 / гр. Габраово, ул.Александър Стамболийски 1","РЕСПИФОРТИН ефф табл 600мг х 10бр","1041318","99","7.09",""
