"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКВАФРЕШ КИДС ЛИТЪЛ ТИИЙД ПАСТА ЗА ЗЪБИ 3-5г 50мл","00402037","81","3.23","2.26"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","3.85"
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","7.05",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"56784","МЕДИСОФТ 2014 ООД / 763 / гр. Пловдив, ул.Г.С.Раковски 3","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
