"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","4.09",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.28",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","3.85"
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","4.62",""
"10447","Аптека Марешки Велико Търново / 794 / гр.В.Търново, ул.Никола Габровски №1","КЕТОНАЛ инж р-р 100мг/2мл х 50бр","1017915","94","16.87",""
