"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АЦЦ 200 ПРАХЧЕТА 200МГ Х 20","95","99","8.29",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ВОЛТАРЕН РЕТАРД ТАБЛ.100МГ Х 10","238","95","1.52",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ВОЛТАРЕН СУП. 50МГ Х 10","240","95","2.20",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ВОЛТАРЕН ТАБЛ. 25МГ Х 30","241","95","1.72",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ВОЛТАРЕН ДР. 50МГ Х 20","242","95","2.11",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ДИКЛОФЕНАК ДУО 75 МГ X 30","359","95","6.09",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","НАКЛОФЕН АМП. 75 MG/3 ML 3MLX5","1001","95","2.11",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","НАКЛОФЕН ДУО КАПС. 75МГ Х 20","1060","95","2.73",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АЛЕРГОЗАН ТАБЛ. 25МГ Х 20","1852","91","4.62",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АЛЕРГОЗАН КРЕМ 1% Х 18ГР","1853","91","4.67",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АЛЕРГОЗАН УНГВ 1% Х 18ГР","1854","91","4.73",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АЛКА-ЗЕЛЦЕР ЕФ.ТАБЛ Х 10","1856","96","3.25",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","РУВЕКСИН ТАБЛ. 325МГ. Х 100 - РУЕЛ","1911","96","3.40",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 10","1917","96","4.99",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","АСПИРИН + ВИТАМИН Ц/БАЙЕР/ЕФ Х 20","1918","96","7.33",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","БЕНАЛГИН ТАБЛ. Х  20 АК","1956","87","3.27",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","БИЗАЛАКС ТАБЛ. 5МГ. Х 30","1977","88","2.54",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ВОЛТАРЕН ЕМУЛГЕЛ 1% 50ГР","2073","95","6.87",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ЙОДАСЕПТ УНГВ. 10% 90ГР АК","2299","92","4.86",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","НИЗОРАЛ КРЕМ 15ГР","2562","90","2.23",""
"73626","Аптека Панацея-Кауфланд бул. Александър Стамболийски 27, гр.Търговище","ТЕМПАЛГИН ТАБЛ Х 20 - СФ","2889","87","3.08",""
