"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","22 Карата Кроасан Дуо Какао и Мляко 80г","068428","67","0.61",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","22 Карата Кроасан Шоколадов Крем 55г","061697","67","0.46",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Бисквити с Млечен Крем 92г","036558","67","0.99",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Дабъл Макс Ванилия и Ягода 92г","005934","67","0.96",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Дабъл Макс Какао и Ванилия 92г","005932","67","1.09",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Дабъл Макс Какао и Кокос 80г","005933","67","1.15",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Макс Горски Плодове 80г","072541","67","0.99",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Мини Какао 60г","005956","67","1.19",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Мини Милфей 60г","005958","67","1.16",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Мини Шампанско 185г","005955","67","2.63",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Супер Дабъл Макс Ванилия и Вишна 110г","005937","67","1.49",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Супер Дабъл Макс Какао и Ванилия 110г","005936","67","1.49",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","7дейс Кроасан Супер Макс Какао 110г","005938","67","1.49",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Bio Домати Цели Белени 400г","067464","48","2.04",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Боб Бял 800г","069853","46","2.81",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Боб Бял с Домати 800г","069854","46","3.06",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Боб Флажолет 400г","069848","46","2.30",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Грах 3х200г","067462","47","3.06",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Грах 400г","069843","47","2.24",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Грах 800г","069844","47","3.57",""
"02676","БАНСКО РИЙС - ALDO - ул. Явор 105","Carrefour Classic Грах на Пара 400г","069846","47","2.04",""
