Населено място,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена на дребно,Цена в промоция
68134,"гр. София, ж.к. Младост 1, до бл.72А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Люлин-2, до бл. 227","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Връбница, ул. Златен клас 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Сухата река, ул. Тодорини кукли 47","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Гевгелийски, ул. Мачуково, срещу бл. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Красна поляна, ул. Суходолска №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Дианабад, ул. Васил Калчев 10","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ул. Костенски водопад 102","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Овча купел-2, до бл. 18","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Иван Вазов, ул.  Стефан Малинов 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Стрелбище, ул. Червена роза 50","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Изток, ул. Атанас Далчев 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, кв. Редута ул. Атанас Узунов 14","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, кв. Борово до бл. 232","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, жк. Младост 2,  ул.Васил Златарски 3","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Лагера, ул. Баба Илийца 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
56407,"гр. Пирдоп, ул. Васил Левски 8  ","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
72343,"гр. Тетевен, Площад Сава Младенов 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
39921,"гр. Кричим, пл. Демокрация №8","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
55302,"гр. Панагюрище, ул. Макгахан №2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, жк Студентски град, ул Жак Натан 11","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Дружба, до бл.86","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Младост 4, ул. Бъднина 15","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
14711,"гр. Генерал Тошево, ул. Иван Вазов 24","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
67653,"гр. Смолян, бул. България 4, ет. 1","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Младост 2, между блок 206 и 209","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
55871,"гр. Перник 1, кв. Димова махала, до OMV","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
55871,"гр. Перник 2, кв. ""Изток"", ул. Благой Гебрев,  35А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
65231,"гр. Самоков, ул. Искър 2А","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
48489,"гр. Монтана, бул. Ген. Арнолди 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
41112,"гр. Кюстендил, ул. Тинтява № 49","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
3928,"гр. Берковица, ул. Александровскa 65б","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
53535,"гр. Омуртаг, ул. Цар Освободител 33","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
61460,"гр. Раднево, ул. Митьо Станев 4","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
61577,"гр. Радомир, ул. Милан Грънчаров 1а","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, Възкресение, бул. Възкресение 85","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
43952,"гр. Ловеч, бул. Мизия 2","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
87374,"гр. Ямбол, ул. „Преслав"" №266","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
20482,"гр. Девня, бул. Съединение №111","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
17395,"гр. Гоце Делчев, ул. Панаирски Ливади 7","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
61813,"гр. Разлог, ул. Гоце Делчев 53","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
68134,"гр. София, ж.к. Дружба 1, ул. „5030“ 6","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
35167,"гр. Казанлък, бул. „Княз Александър Батенберг“ 217","Прясно мляко БУЛГАРЧЕ 3,2% 1л",1353856,6,1.63,1.47
