"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","2.96",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","НЕНЕДЕНТ БЕЗ ФЛУОРИД паста за зъби 50мл","00009","81","1.68",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ДЕРМОДРИН унгв 30г","00011485","91","3.91",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.64",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","5.50",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ТАЛЦИД табл 500мг х 20бр","0330023","86","3.25",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","5.09",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ГЪМ ОРИГИНАЛ УАЙТ паста за зъби 75мл","1000143","81","4.11",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.06",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.28",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.60",""
"00182","Аптека Марешки Аксаково / 014 / гр. Аксаково, ул. Капитан Петко Войвода 2Б","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.88",""
