"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","3.85"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.87",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","АКНЕ АУТ САПУН 100гр","1011945","83","6.15",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.38",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.78",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.65",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НУРОФЕН табл 200мг х 24бр","1019521","94","5.46",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.74",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.53",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.99",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ АНТИПЛАКА ПРОМО паста за зъби 100мл","1022270","81","5.26",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.98",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.34",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ детска паста за зъби с вкус на свежа ягода 2-6год 50мл ПРОМО","1023861","81","4.87",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.98",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ЕЛГИДИУМ АНТИПЛАКА паста за зъби ПРОМО 75мл","1024352","81","4.38",""
"67338","Аптека Марешки 9 / 475 / гр. Сливен, бул.Стефан Караджа, 4-Б, ет.1 обект 12","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.30",""
