"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ КЛИНИК Х ОРТОДОНТ ЧЕТКА ЗА ЗЪБИ М","0000098","80","4.06",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","3.85"
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.70",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","АСТЕРА Четка за Зъби МЕДИУМ","00705014","80","0.81",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","0.78",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.70",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"55871","Аптека Марешки Перник 3 / 175 / кв. Изток, ул. Рига 8","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
