"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДЕРМОДРИН унгв 30г","00011485","91","4.59",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.64",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.87",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.38",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.78",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПАРОДОНТАКС ИЗБЕЛВАЩА паста за зъби 75мл","1016013","81","5.50","3.85"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.09",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.77",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.82",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.74",""
"40909","Аптека Марешки Автогара / 639 / гр. Кърджали, бул.България 87","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
