"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.03",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.18",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ДЕРМОДРИН унгв 30г","00011485","91","4.46",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.50","3.85"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.50","3.85"
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","5.88",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ КЛИНИК ЧЕТКА ЗА ЗЪБИ АНТИПЛАКА МЕДИУМ","00504018","80","5.64",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","5.96",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","БИОПРОГРАМА ЧАЙ КАРКАДЕ","01207009","72","1.50",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.43",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.20",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"10135","Аптека Марешки Владая / 257 / гр.Варна, ул.Владая 11","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.70",""
