"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.12",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.52",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЗЕНАРО табл 5мг х 28бр","1013508","100","9.11",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.34",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.34",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НУРОФЕН табл 200мг х 24бр","1019521","94","5.30",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.99",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.80",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","АЛМИРАЛ гел 1.16% 250гр","1023856","95","13.57",""
"10447","Аптека Марешки Бузлуджа / 269 / гр.В.Търново, ж.к. Бузлуджа ул.Георги Измирлиев 13Б","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.83",""
