"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БИЛКАДЕНТ Паста за Зъби АНТИПАРОДОНТ ЧЕРЕША 75мл","00902212","81","2.61",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛАВЕНА БОЧКО ПАСТА ЗА ЗЪБИ КИДС МОМЧЕ/ДЪВКА 75мл","1012823","81","1.54",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.47",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.65",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.57",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.65",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.99",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.98",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.08",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"44238","Аптека Марешки Лом 2 / 353 / гр.Лом, ул.Тодор Каблешков 2 ДКЦ-1 фоайе","ДИАЛГИН капки 500мг/мл 20мл","1028253","96","4.38",""
