"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.43",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ДЕРМОДРИН унгв 30г","00011485","91","4.60",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.61",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","СЕНСОДИН ФЛУОРИД ПАСТА ЗА ЗЪБИ 75мл","00402087","81","5.22","3.65"
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ПАРОДОНТАКС ФЛУОР ПАСТА ЗА ЗЪБИ 75мл","00402088","81","5.22","3.65"
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ АНТИ-ПЛАКА АНТИПЛАКОВА ПАСТА ЗА ЗЪБИ 75мл","00504002","81","4.90",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.09",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.09",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.18",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЛАКАЛУТ АКТИВ паста за зъби 75мл","05602006","81","3.70",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","5.39",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ГЪМ ОРИГИНАЛ УАЙТ паста за зъби 75мл","1000143","81","3.91",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.35",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.28",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.60",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.09",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","4.78",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ПАРОДОНТАКС КЛАСИК паста за зъби 75мл","1016746","81","5.50","3.85"
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","САПУН НИЯ СЕРЕН 60гр","1017365","83","0.78",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ГЪМ ПАРОЕКС ПАСТА ЗА ЗЪБИ 0.06% 75мл","1018302","81","3.54",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","СИАФЕН сусп 20мг/мл 120мл","1019045","94","3.65",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","НУРОФЕН табл 200мг х 24бр","1019521","94","5.46",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЙОДАСЕПТ унгв 40гр","1019744","92","3.07",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ паста за зъби 75мл","1019885","81","7.41",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","4.29",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","НУРОФЕН сироп за деца 40мг/мл -ягода 100мл","1020049","94","5.74",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","СЕНСОДИН РИПЕЪР ЕНД ПРОТЕКТ УАЙТЪНИНГ паста за зъби 75мл","1020890","81","7.41",""
"40909","Аптека Марешки Кърджали  / 141 / гр. Кърджали, ул. Екзарх Йосиф 5","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.51",""
