"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДИАРОСТАД СТАДА капс 2мг х 10бр","0000315","89","3.42",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","БРАУНОЛ разтвор за кожа 100мл х 1бр","00011236","92","3.27",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДЕРМОДРИН унгв 30г","00011485","91","4.38",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ФЕНОЛАКС табл 5мг х 30бр","00080575","88","1.56",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ АНТИ-КАРИЕС АНТИКАРИЕСНА ПАСТА ЗА ЗЪБИ 75мл","000808263","81","5.96",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","БИЛКОВ ЧАЙ МАТОЧИНА филтър х 20бр","00091031","72","1.21",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ С ФЛУОРИНОЛ ЗА ЗАЩИТА ОТ КАРИЕС ЗА ДЕЦА 3-6г. с вкус на горски плодове 50мл","00504019","81","4.88",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ КИДС ДЕТСКА ЧЕТКА ЗА ЗЪБИ 2-6 год","005040192","80","4.70",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕКЗОДЕРИЛ крем 1% 15гр","0100006","90","6.14",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ТАЛЦИД табл 500мг х 20бр","0330023","86","4.06",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","МУКОНАЗАЛ ПЛЮС спрей назал 10мл","0440051","97","6.62",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75мл","10000406","81","6.91",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","СПАЗМАЛГОН инж разтвор 500мг/2мг/0.02мг 2мл х 5бр","1010211","87","3.25",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","АКНЕ АУТ САПУН 100гр","1011945","83","5.79",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","НАЗИК 50мг/1мг/гр назален спрей за възрастни 10мл","1012415","97","6.53",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","НАЗИК 50мг/0.5мг/гр назален спрей за деца 10мл","1012416","97","4.79",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ ДЖУНИЪР БЪБЪЛ детска паста за зъби от 7-12г. с вкус на дъвка 50мл","1012684","81","4.88",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЗЕНАРО табл 5мг х 7бр","1013507","100","3.48",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДИАЛГИН сашета 1000мг х 6бр","1015212","96","2.70",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","МИГ 400 филм табл 400мг x 10бр","1015463","94","2.56",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДИАЛГИН сашета 1000мг х 20бр","1016016","96","7.65",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ ДИФЮЖЪН ЧЕТКА ЗА ЗЪБИ МЕДИУМ","1016304","80","5.70",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","КАФЕТИН МЕНСТРУАЛ филм табл 200мг х 10бр","1019299","94","3.35",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","НУРОФЕН табл 200мг х 24бр","1019521","94","5.29",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЙОДАСЕПТ унгв 40гр","1019744","92","2.93",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ УАЙТАНИНГ ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 50мл","1020022","81","5.24",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","БРУФЕН СР табл 800мг.х 30бр","1020323","94","6.66",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ВОЛТАРЕН ФОРТЕ гел 2,32% 50гр","1021024","95","8.85",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЛОПЕДИУМ капс 2мг х 10бр/НОВА","1022002","89","3.62",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","СТОПЕРАН капс 2мг х 8бр/НОВА","1022006","89","3.21",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ИМОДИУМ капс 2мг х 6бр/НОВА","1022007","89","3.43",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ОТИРЕЛАКС капки за уши 15мл","1022160","101","3.98",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","АЛМИРАЛ ГЕЛ 1,16% 50г","1022666","95","5.35",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЛАВЕНА БОЧКО САПУН лавандула 75гр","1022761","83","0.99",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЛАВЕНА БОЧКО САПУН невен 75гр","1022769","83","0.91",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","БИОПРОГРАМА чай дребноцветна върбовка","1022921","72","1.79",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","НУРОФЕН ЕКСПРЕС ФОРТЕ меки капс  400мг х 10бр","1023211","94","4.98",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ КИДС ГЕЛООБРАЗНА ПАСТА ЗА ЗЪБИ ЗА ЗАЩИТА ОТ КАРИЕС С ФЛУРИНОЛ И ВКУС НА СВЕЖА ЯГОДА 50мл","1023759","81","5.26",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","НУРОФЕН ФЕМИНА ФОРТЕ филм табл 512мг х 12бр","1024262","94","4.84",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ФЕЛОРАН ФОРТЕ СОФАРМА гел 5% 40гр","1024454","95","5.15",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ИМОДИУМ ИНСТАНТ ородисп табл 2мг х 6бр","1025649","89","4.08",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","АЦЦ сироп 20мг/мл 100мл","1026426","99","7.07",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДОЛОРЕН филм табл 400мг х 12бр","1026942","94","2.45",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕУБИОТИК капс х 20бр","1028054","89","8.77",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","АЦЕЦИС сашети 200мг х 20бр","1028066","99","4.99",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ДИАЛГИН капки 500мг/мл 20мл","1028253","96","4.38",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ЕЛГИДИУМ ИНСПИРЕЙШЪН четка за зъби медиум","1028728","80","5.70",""
"55871","Аптека Марешки Перник / 494 / гр. Перник, ул.Кракара 52","ПРОБИЕН КИДС ЖЕЛИРАНИ МЕЧЕТА х 60бр","1029958","89","12.04",""
