"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","МУКОФАЛК ПОРТОКАЛ САШЕТИ Х 20","564","88","8.69",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ФЕНОЛАКС 5МГ ТАБЛ. Х 30","577","88","1.78",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ДЕРМОДРИН МАЗ 20МГ/Г 30Г Х 1","984","91","4.65",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","АДАПТ. МЛЯКО НАН КОМФОРТИС 1 800Г","1708","65","21.06",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ЕЛГИДИУМ ПЗ КЛИНИК PERIOBLOCK PRO 50МЛ","5134","81","7.00",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ЕЛГИДИУМ ДИФЮЖЪН ЧЗ MEDIUM","5146","80","5.47",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ЧАЙ АЛПИНИСТ ФИЛТЪР Х 20 БИОПРОГРАМА","6144","72","0.81",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","ЧАЙ ШИПКА ФИЛТЪР Х 20 БИОПРОГРАМА","6148","72","1.02",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle Био каша с козе мляко, боровинка и банан 6+ месеца 200г","25616","63","5.41",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle Био каша мюсли 6+ месеца 250г","25654","63","4.14",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle Био пюре зеленчуково къри 6+ месеца 190г","25737","64","1.89","1.39"
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle Био зеленчуково пюре с телешко месо и леща 10+ месеца 220г","25743","64","3.06","2.29"
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Holle Био храна за кърмачета с А2 Формула 2 6+ месеца 600г","26259","65","13.80",""
"68134","БЕНУ Околовръстен път гр.София , Околовръстен път 199А","Elgydium Четка за зъби M Medium 4в1","27320","80","8.94",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","ИБУТОП ГЕЛ 50ГР","421","95","5.57",""
"68134","БЕНУ КАУФЛАНД ЛЮЛИН гр.София, бул Царица Йоанна 97","САБ СИМПЛЕКС СУСП. 30МЛ","498","87","7.61",""
