Населено място;Търговски обект;Наименование на продукта;Код на продукта;Категория;Цена на дребно;Цена в промоция
55871;ГРИЗЛИ 8 ТЕВА;Банани;001314;52;1.89;
55871;ГРИЗЛИ 8 ТЕВА;Билков Чай Bioset 20бр. 30гр.;003902;72;1.12;
55871;ГРИЗЛИ 8 ТЕВА;Бира Ариана Светло 2.3л.;003366;74;1.59;1.28
55871;ГРИЗЛИ 8 ТЕВА;Бира Бургаско Светло 2.3л.;003588;74;1.63;1.12
55871;ГРИЗЛИ 8 ТЕВА;Бира Пиринско светло 2.3л.;006073;74;1.61;1.27
55871;ГРИЗЛИ 8 ТЕВА;Бира Шуменско светло 2.2л.;003587;74;1.66;1.38
55871;ГРИЗЛИ 8 ТЕВА;Брашно София Мел Екстра 1кг.;004600;41;1.1;
55871;ГРИЗЛИ 8 ТЕВА;Брашно София Мел Тип 500 1кг.;000972;40;1.05;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Вино Ethno 750мл.;005815;75;4.85;4.39
55871;ГРИЗЛИ 8 ТЕВА;Бяло Вино Muscat Sophia 750мл.;003188;75;2.4;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Вино Villa Yambol Chardonnay 750мл.;000155;75;4.63;4.15
55871;ГРИЗЛИ 8 ТЕВА;Бяло Вино Villa Yambol Muscat 750мл.;004479;75;4.63;4.15
55871;ГРИЗЛИ 8 ТЕВА;Бяло Саламурено Краве Сирене Топила;004610;8;7.61;
55871;ГРИЗЛИ 8 ТЕВА;Бяло Саламурено Сирене от Краве Мляко Лудогорско;007315;8;6.21;
55871;ГРИЗЛИ 8 ТЕВА;Бяло саламурено сирене от краве мляко Булгарче;001526;8;7.11;
55871;ГРИЗЛИ 8 ТЕВА;Детска лютеница Олинезко 520гр.;002913;49;3.01;
55871;ГРИЗЛИ 8 ТЕВА;Домати;001310;54;2.55;
55871;ГРИЗЛИ 8 ТЕВА;Домашна Лютеница Селце 570гр.;002783;49;2.38;
55871;ГРИЗЛИ 8 ТЕВА;Жълта ябълка;010837;53;1.53;
55871;ГРИЗЛИ 8 ТЕВА;Захар Вучко 1кг.;009431;38;0.83;
55871;ГРИЗЛИ 8 ТЕВА;Зеле прясно;002332;57;0.59;
55871;ГРИЗЛИ 8 ТЕВА;Зелена Ябълка;002543;53;2.15;
55871;ГРИЗЛИ 8 ТЕВА;Извара Olympus 400гр.;005897;14;2.17;
55871;ГРИЗЛИ 8 ТЕВА;Кайма Стандарт Сами - М;006600;25;6.28;
55871;ГРИЗЛИ 8 ТЕВА;Картоф;001313;61;0.49;
55871;ГРИЗЛИ 8 ТЕВА;Кафе Nova Brasilia Класик Мляно 200гр.;009970;70;3.93;3.19
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Булгарче тост;008307;10;10.99;8.19
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Здравец 220гр.;000420;11;3.2;
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Лудогорие пита;000592;10;9.97;
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Мургаш 200гр.;001621;11;3.16;
55871;ГРИЗЛИ 8 ТЕВА;Кашкавал Мургаш пита;004982;10;10.73;8.99
55871;ГРИЗЛИ 8 ТЕВА;Кашкавалена извара;005724;13;2.55;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Meggle 3.6% 400гр.;005654;7;0.85;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Верея 2.9% 400гр.;004733;7;0.81;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Верея 3.6% 400гр.;013747;7;0.83;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Верея Чудно 2.5% 400гр.;000121;7;0.86;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Домлян 3.6% 500гр.;000496;7;0.92;
55871;ГРИЗЛИ 8 ТЕВА;Кисело Мляко Натурално Olympus 3.6%  400гр.;000747;7;0.86;
55871;ГРИЗЛИ 8 ТЕВА;"Кисело мляко ""Боженци"" 2.2%  400гр.";005139;7;0.84;
55871;ГРИЗЛИ 8 ТЕВА;Кисело мляко Булгарче гигант 2% 400гр.;001108;7;0.8;
55871;ГРИЗЛИ 8 ТЕВА;Кисело мляко Верея 2% 400гр.;000265;7;0.77;
55871;ГРИЗЛИ 8 ТЕВА;Кисело мляко Здравец 2% 500гр.;000426;7;0.85;
